nebenkosten,heizungstyp,telekom_tv_angebot,telekom_hybrid_uploadspeed,neu_bau,balkon,bilderanzahl,preisentwicklung,telekom_uploadspeed,gesamt_miete,baujahr,scout_id,parkplätze,fuer_heizung,mit_kueche,bundesland,keller,baujahr_range,grundmiete,hausnummer,wohnflaeche,bezirk,zustand,ausstattungsqualitaet,haustiere_erlaubt,straße,straße_plain,aufzug,grundmiete_range,wohnungstyp,postleitzahl,zimmer,waermeschutz,etage,anzahl_stockwerke,zimmer_range,garten,wohnflaeche_range,region2,region3,beschreibung,ausstattung,heizkosten,energieeffizienzklasse,letzte_sanierung,stromgrundpreis,strom_kwh_preis,daten_datum
200.0,district_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,13,6.54,40,2565.0,1910,115200338,NA,gas,TRUE,Berlin,TRUE,1,2225.0,87,165.68,Berlin,refurbished,sophisticated,negotiable,Kastanienallee,Kastanienallee,TRUE,9,roof_storey,10435,4,95.6,6,6,4,FALSE,7,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,Wunderschöne 4 Zimmer Dachgeschosswohnung im Herzen vom Prenzlauer Berg. Der gesamte Wohnkomplex wurde 2007 stilgerecht saniert.,"Parkettboden, Einbauküche, Ankleidezimmer, 2 Terrassen und Kamin",140,NA,2007,NA,NA,2020-02-01
215.0,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,9,10.23,10,1125.0,1890,110747740,NA,gas,TRUE,Berlin,FALSE,1,792.0,NA,88.0,Berlin,well_kept,sophisticated,no,no_information,NA,FALSE,5,apartment,13127,3,288.7,1,2,3,FALSE,4,Berlin,Französisch_Buchholz_Pankow,"Das Haus befindet sich an einer Hauptstraße, dafür ist die gegebene Infrastruktur sowie Verkehrsanbindung ideal. Es wurde vor der Jahrhundertwende errichtet und 1992 umfangreich saniert.","Die Wohnung befindet sich in einem kleinen Mehrfamilienhaus mit insgesamt nur 4 Einheiten im 1. Obergeschoß auf der linken Seite. Vom Flur aus erreichen Sie rechts das Wohnzimmer, von dort aus weiter rechts einen weiteren Raum. Auf der linken Seite befindet sich das sehr moderne und hochwertige, tagesbelichtete Duschbad. Geradezu erreichen Sie das Esszimmer mit der offenen Küche auf der linken Seite. Rechts ist das dritte Zimmer zu erreichen. Die Räume sind zum Teil mit Parkett und Downlights ausgestattet. Die Fenster nach vorne haben Außenrollläden. Vom Wohnzimmer aus gelangen Sie auf den kleinen Balkon.",118,NA,1992,NA,NA,2019-05-01
450.0,floor_heating,ONE_YEAR_FREE,NA,TRUE,TRUE,14,6.85,40,2830.0,2018,111780700,NA,district_heating,TRUE,Berlin,TRUE,9,2380.0,NA,140.0,Berlin,na,na,NA,no_information,NA,TRUE,9,penthouse,10589,3,NA,6,6,3,FALSE,6,Berlin,Charlottenburg_Charlottenburg,"Die hier angebotene, exklusive Penthouse ist Teil des Neubauprojekts „Goslarer Ufer – Wohnen an der Spree. Es besticht durch die exklusive Wasserlage an der Spree, den atemberaubenden Blick über ganz Berlin und die großzügige Hauptterrasse. Die offene, moderne Raumaufteilung mit luxuriöser Ausstattung und großen Fensterfronten verleiht diesem Objekt seinen einzig-artigen und urbanen Charakter.","• Großzügiger, lichtdurchfluteter Wohnbereich • Schlafzimmer mit Zugang zu der umlaufenden Penthouse-Terrasse, Bad en suite und geräumigem Einbauschrank • Ein weiteres Arbeits-/Kinder-/ Esszimmer, abtrennbar mit modernen Schiebetüren • Moderne Einbauküche, ausgestattet mit allen elektrischen Geräten – u.a. Edelstahl-Backofen mit Steam-Bake-Funktion, Induktionskochfeld und Mikrowelle • Tagesbelichtetes Vollbad mit u.a. Doppelwaschbecken, bodentiefer Dusche, Spiegel und Bidet • Großzügige Hauptterrasse in Südausrichtung mit grandiosem Blick über die Stadt • Hochwertiges Eichen-Vollholz Parkett, 2,68 m Deckenhöhe, elektrische Oberlichter sowie hochwertige Lampen • Gäste-WC sowie Abstell/-Hauswirtschaftsraum • Elektrische Jalousien an allen Fenstern sowie Sicherheits-Wohnungseingangstür • Parkähnlicher Innenhof sowie direkte Uferlage mit Wasserzugang • Tiefgaragenstellplatz zusätzlich anmietbar • Kellerraum",NA,NA,NA,NA,NA,2019-10-01
161.65,floor_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,15,8.56,40,1893.09,2017,110664680,NA,district_heating,TRUE,Berlin,TRUE,9,1640.6,41 c,97.9,Berlin,first_time_use,sophisticated,negotiable,Chausseestraße,Chausseestraße,TRUE,8,apartment,10115,3,43,4,6,3,FALSE,4,Berlin,Mitte_Mitte,"Feuerlandhöfe in Berlin-Mitte. Hier entstehen ca. 395 Wohneinheiten sowie einige Laden- und Gewerbeflächen auf insgesamt 30.387 m² vermietbarer Fläche. Das Investitionsvolumen für dieses Projekt liegt bei etwa 108 Mio. Euro. Die Baumaßnahme startete Anfang Januar 2015, Ende 2016 wird das Objekt fertiggestellt und vollvermietet an einen deutschen institutionellen Investor übergeben. Gebaut wird nach den Entwürfen von Fuchshuber Architekten, Leipzig. Etwa ein Drittel des gesamten Bauvolumens entsteht in dem historischen Baudenkmal. Verschiedene Neubauabschnitte ergänzen dieses in der für Berlin typischen, hofgegliederten Baufigur mit Wohnungen in der Größe von 45-200 qm. In einer Tiefgarage werden 222 PKW-Stellplätze gebaut. Die Wohnanlage wird mit zeitgemäßen technischen Neuerungen wie Regenwasserrückgewinnung und Solarthermie sowie identitätsstiftenden, aufwändig gestalteten Kunst-, Farb- und Lichtelementen ausgestattet. Die CG Gruppe setzt ihre langjährige Kooperation mit Kondor Wessels mit dem bisher größten gemeinsamen Bauvorhaben fort.","- Balkon - Einbauküche inkl. Herd, Kühlgefrierkobienation, Spüle und Geschirrspüler - hochwertiges Bad mit Dusche und Badewanne - Abstellraum - Cat7 Netzwerk - Videogegensprechanlage - Sicherheitstüren - Ausgeleuchtete Bäder und Flurbereiche - elektrische Außenjalousie",83.29,A,NA,NA,NA,2019-05-01
291.28,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,11,6.87,40,1747.63,1900,115218458,NA,NA,TRUE,Berlin,FALSE,1,1456.35,68,97.09,Berlin,refurbished,na,NA,Schönhauser Allee,Schönhauser_Allee,FALSE,7,apartment,10437,3,NA,2,5,3,FALSE,4,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,"Es handelt sich hierbei um eine top sanierte 97m² große, Dreizimmerwohnung im 2. OG links des Vorderhauses. Sie ist Teil eines Wohn- und Geschäftshauses und überzeugt mit einem komfortablen Schnitt. Bereits beim Betreten der Wohnung lässt sich feststellen, dass es sich hierbei um eine geräumige und helle Wohnung handelt, welche mit ihrem Altbauscharm überzeugt. Vom Eingangsbereich gelangt man links in das moderne Dusch- und Wannenbad, welches Dank einem Fenster genügend Licht spendet. Der Handtuchheizkörper und das Hänge-WC vollenden das Bild eines luxuriösen Badezimmers. Direkt gegenüber befindet sich das erste Zimmer, welches zugleich ein Durchgangszimmer zum zweiten Raum darstellt. Der Flur endet in dem großen Wohn- und Essbereich, der mit einer vollständigen und modernen Einbauküche ausgestattet ist. Ein separater Abstellraum sorgt weiterhin für genügend Stauraummöglichkeiten. Im Anschluss daran liegt das dritte Zimmer der Wohnung. Im großzügigen Wohn- und Essbereich, im Flur, sowie im Badezimmer sind an den Decken bereits Downlights angebracht. Die Komplette Wohnung ist in den Zimmern mit Parkett und in den Bädern mit hochwertigen, großformatigen Fliesen ausgelegt. Sämtliche sanitäre Einrichtungen repräsentieren einen luxuriösen Standard. Eine Teilgewerbliche Anmietung ist vom Eigentümer erwünscht.",NA,145.64,NA,NA,NA,NA,2020-02-01
115.75,self_contained_central_heating,ONE_YEAR_FREE,10,FALSE,FALSE,14,8.55,2.4,618.21,1927,111377979,NA,gas,FALSE,Berlin,TRUE,1,502.46,67,62.75,Berlin,modernized,sophisticated,negotiable,Gersdorfstr.,Gersdorfstr.,FALSE,4,raised_ground_floor,12105,2,144,0,4,2,TRUE,3,Berlin,Mariendorf_Tempelhof,"Die gut geschnittene Altbau-Wohnung befindet sich in einem liebevoll geführten, gepflegten Wohnhaus mit 8 Mietparteien in Berlin-Mariendorf. Hinter dem Haus gibt es einen großen Garten.","Die gut geschnittene renovierte 2,5-Zimmer Altbauwohnung ist sehr hell und wurde 2015 komplett saniert und modernisiert. Das moderne Bad ist mit einer Badewanne, einem Handtuchheizkörper, Waschmaschinenanschluss und rundum Fliesen ausgestattet und besitzt ein Fenster zur natürlichen Belüftung. Die Küche eignet sich gut für Einbauküchenmöbel und bietet Platz für einen Essplatz; der Boden ist komplett in einem warmen Terracotta-Ton gefliest. Wohnzimmer und Schlafzimmer verfügen über gute Lichtverhältnisse und sind mit abgezogenem Dielenböden ausgestattet. Flur und halbes Zimmer verfügen ebenfalls über abgezogene Dielen. Das halbe Zimmer lässt sich gut als Büro, Ankleideraum, Gästezimmer, Kinderzimmer o.ä. nutzen. Im Flur gibt es eine abgehangene Decke, die mit Halogenspots ausgestattet wurde. Die gesamte Elektrik und Wasseranschlüsse wurden erneuert. Moderne Isolierverglasung zur Gartenseite. Gegensprechanlage, separater Keller. Von einigen Räumen hat man einen Blick nach hinten in den ruhigen begrünten Garten, welcher von den Mietern genutzt werden kann.",NA,E,2015,NA,NA,2019-05-01
55.0,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,1,9.65,40,399.84,1900,115232156,NA,natural_gas_heavy,FALSE,Berlin,FALSE,1,309.84,204,35.0,Berlin,well_kept,normal,negotiable,Weserstr.,Weserstr.,FALSE,2,apartment,12047,1,234.7,1,NA,1,FALSE,1,Berlin,Neukölln_Neukölln,"Wichtig: Bitte lassen Sie uns eine Kontaktanfrage über das Exposé zukommen, sodass wir Sie bei Änderungen der Besichtigungstermine informieren können. Diesbezüglich empfehlen wir Ihnen auch das Exposé am Tag der Besichtigung auf Änderungen zu prüfen. Sollte das Exposé deaktiviert sein, steht die Wohnung i.d.R. nicht mehr zur Verfügung.",- gefliestes Duschbad - neuer Laminatfußboden - Küchenbereich mit Fliesenspiegel - Zentralheizung - Warmwasserversorgung erfolgt über einen Durchlauferhitzer - Gegensprechanlage,35,NA,NA,NA,NA,2020-02-01
319.74,central_heating,NA,NA,FALSE,TRUE,11,6.54,NA,2018.38,NA,115442980,NA,NA,FALSE,Berlin,FALSE,NA,1698.64,51/ 52,99.92,Berlin,refurbished,na,yes,Oderberger Straße,Oderberger_Straße,FALSE,8,maisonette,10435,3,NA,5,5,3,FALSE,4,Berlin,Prenzlauer_Berg_Prenzlauer_Berg,"Diese schöne Maisonettewohnung befindet sich im 4. und 5.OG eines wunderschönen Altbaus. Die Wohnung befindet sich im Seitenflügel, wodurch Ruhe und Privatsphäre garantiert ist. In der 4. Etage befindet sich eine Küche, ein Wannenbad, ein möglicher Wohn-/ und Essbereich sowie ein großzügiger Balkon. Über eine Treppen geht es ins Dachgeschoß, hier befinden sich 2 weitere Zimmer, 1 ist ein Durchgangszimmer, sowie eine große Terrasse. Die Wohnung hat einen komfortablen Schnitt und wird durch die großen Fenster mit viel Tageslicht durchflutet.",NA,149.88,NA,NA,NA,NA,2020-02-01
100.0,district_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,19,10.17,40,1000.0,1975,111391200,1,district_heating,TRUE,Berlin,TRUE,3,845.0,36,41.58,Berlin,na,na,NA,Spenerstraße,Spenerstraße,FALSE,6,apartment,10557,2,163.1,6,7,2,FALSE,2,Berlin,Tiergarten_Tiergarten,Extras: - Treppenhausreinigung - Hausmeisterservice - Winterdienst - Gegensprechanlage,"Allgemein: - Waschtrockner Räume: - verputzte Wände - Parkettboden Küche: - Geschirrspüler - Elektroherd, Cerankochfeld - Kühlschrank Badezimmer: - Dusche",55,F,NA,NA,NA,2019-05-01
250.0,central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,10,8.74,40,1125.0,1990,105407548,1,oil,TRUE,Berlin,TRUE,4,875.0,NA,81.0,Berlin,well_kept,sophisticated,negotiable,no_information,NA,FALSE,6,apartment,14052,2,100.8,1,3,2,TRUE,4,Berlin,Charlottenburg_Charlottenburg,Das Wohnhaus - erbaut etwa 1990 - liegt in Charlottenburg im Wacholderweg zwischen Spandauer Damm und Rominter Allee.,"Die Wohnräume und die Diele verfügen über einen Laminatfußboden. Die Küche hat eine Komplettausstattung incl. Geschirrspüler und Kühlschrank mit Gefrierschrank Das Bad ist großzügig gestaltet und mit Badewanne und Dusche ausgestattet. Die Wohnung hat eine geräumige Terrasse, die sowohl vom Wohnzimmer als auch vom Schlafzimmer aus zugänglich ist.",90,NA,NA,90.76,0.1985,2018-09-01
170.0,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,3,5.82,40,1567.7,1910,115169848,NA,oil,FALSE,Berlin,FALSE,1,1247.7,53,145.0,Berlin,well_kept,normal,negotiable,Hohenzollerndamm,Hohenzollerndamm,FALSE,7,ground_floor,14199,4,187,0,4,4,FALSE,6,Berlin,Schmargendorf_Wilmersdorf,"Wichtig: Bitte lassen Sie uns eine Kontaktanfrage über das Exposé zukommen, sodass wir Sie bei Änderungen der Besichtigungstermine informieren können. Diesbezüglich empfehlen wir Ihnen auch das Exposé am Tag der Besichtigung auf Änderungen zu prüfen. Sollte das Exposé deaktiviert sein, steht die Wohnung i.d.R. nicht mehr zur Verfügung. Wohnung i.d.R. nicht mehr zur Verfügung.","- großzügiger Schnitt - vier helle Wohn-/Schlafräume und ein etwas kleinerer Raum (halbes Zimmer) - offener, gefliester Küchenbereich mit modernem Fliesenspiegel und Anschlüssen für Herd und Spüle - zwei Abstellkammern - aufgearbeiteter Dielenfußboden im Wohn-/Schlafbereich sowie im Flur - modernes, rundum gefliestes Badezimmer mit Badewanne, viel Tageslicht, Handtuchheizkörper und Anschluss für eine Waschmaschine - modernes Gäste-WC - Rollläden vor allen Fenster - zentrale Heizungs- und Warmwasserversorgung",150,NA,NA,NA,NA,2020-02-01
